Problem,ML-model,Gap ML-C,Gap NO simple,Time ML-C,Time NO simple,Operations NO simple,Removed NO simple,First phase edges
lin105,Linear,8.179 %,8.179 %,0.288 sec,0.000 sec,0,0,114
kroA100,Linear,13.462 %,13.462 %,0.329 sec,0.000 sec,0,0,122
pr124,Linear,12.616 %,12.616 %,0.345 sec,0.000 sec,0,0,194
gr137,Linear,11.054 %,11.054 %,0.361 sec,0.000 sec,0,0,206
kroA150,Linear,12.174 %,12.174 %,0.426 sec,0.000 sec,0,0,168
rd100,Linear,8.407 %,8.407 %,0.463 sec,0.000 sec,0,0,72
u159,Linear,12.039 %,12.039 %,0.476 sec,0.000 sec,0,0,234
pr107,Linear,12.015 %,12.015 %,0.289 sec,0.000 sec,0,0,150
kroC100,Linear,5.239 %,5.239 %,0.312 sec,0.000 sec,0,0,120
pr144,Linear,5.877 %,5.877 %,0.341 sec,0.000 sec,0,0,212
bier127,Linear,3.862 %,3.862 %,0.381 sec,0.000 sec,0,0,182
ch130,Linear,7.692 %,7.692 %,0.744 sec,0.000 sec,0,0,62
pr152,Linear,6.010 %,6.010 %,0.347 sec,0.000 sec,0,0,228
gr202,Linear,6.188 %,6.188 %,0.829 sec,0.000 sec,0,0,200
eil101,Linear,4.452 %,4.452 %,0.440 sec,0.000 sec,0,0,0
pr136,Linear,13.810 %,13.810 %,0.317 sec,0.000 sec,0,0,240
pr264,Linear,6.073 %,6.073 %,0.500 sec,0.000 sec,0,0,404
d198,Linear,6.020 %,6.020 %,1.303 sec,0.000 sec,0,0,76
ts225,Linear,8.675 %,8.675 %,0.565 sec,0.000 sec,0,0,410
gr229,Linear,8.799 %,8.799 %,0.779 sec,0.000 sec,0,0,314
rat195,Linear,7.060 %,7.060 %,1.177 sec,0.000 sec,0,0,0
pr299,Linear,8.334 %,8.334 %,1.123 sec,0.000 sec,0,0,372
gr431,Linear,12.997 %,12.997 %,1.229 sec,0.000 sec,0,0,530
kroA200,Linear,7.021 %,7.021 %,0.955 sec,0.000 sec,0,0,226
tsp225,Linear,11.370 %,11.370 %,1.717 sec,0.000 sec,0,0,2
gil262,Linear,10.513 %,10.513 %,1.552 sec,0.000 sec,0,0,0
pr226,Linear,17.249 %,17.249 %,0.824 sec,0.000 sec,0,0,306
pr439,Linear,9.418 %,9.418 %,1.046 sec,0.000 sec,0,0,666
lin318,Linear,7.564 %,7.564 %,1.354 sec,0.000 sec,0,0,336
a280,Linear,13.610 %,13.610 %,2.200 sec,0.000 sec,0,0,0
pcb442,Linear,9.953 %,9.953 %,3.149 sec,0.000 sec,0,0,468
rd400,Linear,9.980 %,9.980 %,3.899 sec,0.000 sec,0,0,116
gr666,Linear,12.396 %,12.396 %,4.403 sec,0.000 sec,0,0,864
rat575,Linear,8.283 %,8.283 %,5.679 sec,0.000 sec,0,0,0
att532,Linear,11.072 %,11.072 %,7.288 sec,0.000 sec,0,0,204
fl417,Linear,10.631 %,10.631 %,4.682 sec,0.000 sec,0,0,44
d493,Linear,9.646 %,9.646 %,5.701 sec,0.000 sec,0,0,234
rl1304,Linear,10.338 %,10.338 %,7.765 sec,0.000 sec,0,0,2038
u1060,Linear,10.403 %,10.403 %,8.179 sec,0.000 sec,0,0,1248
u574,Linear,9.419 %,9.419 %,6.240 sec,0.000 sec,0,0,360
d657,Linear,7.622 %,7.622 %,8.251 sec,0.000 sec,0,0,460
rat783,Linear,9.284 %,9.284 %,13.788 sec,0.000 sec,0,0,2
u724,Linear,9.888 %,9.888 %,10.588 sec,0.000 sec,0,0,378
vm1084,Linear,11.070 %,11.070 %,6.517 sec,0.000 sec,0,0,1402
rl1323,Linear,7.510 %,7.510 %,7.302 sec,0.000 sec,0,0,2114
pr1002,Linear,10.876 %,10.876 %,3.768 sec,0.000 sec,0,0,1440
pcb1173,Linear,11.594 %,11.594 %,19.745 sec,0.000 sec,0,0,422
u1432,Linear,9.365 %,9.365 %,18.260 sec,0.000 sec,0,0,1068
nrw1379,Linear,9.755 %,9.755 %,24.987 sec,0.000 sec,0,0,234
d1291,Linear,9.797 %,9.797 %,14.433 sec,0.000 sec,0,0,456
d1655,Linear,11.337 %,11.337 %,28.092 sec,0.000 sec,0,0,248
fl1400,Linear,8.998 %,8.998 %,18.042 sec,0.000 sec,0,0,92
fl1577,Linear,13.016 %,13.016 %,22.616 sec,0.000 sec,0,0,10
vm1748,Linear,8.956 %,8.956 %,13.199 sec,0.000 sec,0,0,2070
